,DonorID,Age,Gender,Location,JoinDate,DonationID,DonationDate,Amount,CampaignID,CampaignName,StartDate,EndDate,TargetAmount,ActualAmount,Channel,Date,EngagementOutcome,ImpactType,Value,Cost
320,DNR00004,28,Male,NT,2015-08-14 22:59:27.552825,DNT005972,2023-06-22,49.12,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,1/09/2022,Unsubscribed,Workshops Delivered,24.0,100.0
345,DNR00004,28,Male,NT,2015-08-14 22:59:27.552825,DNT008136,2016-04-13,91.22,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,1/09/2022,Unsubscribed,Workshops Delivered,24.0,100.0
370,DNR00004,28,Male,NT,2015-08-14 22:59:27.552825,DNT009610,2022-05-14,22.72,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Social Media,1/09/2022,Unsubscribed,Workshops Delivered,31.0,100.0
395,DNR00004,28,Male,NT,2015-08-14 22:59:27.552825,DNT017837,2015-02-23,20.25,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,1/09/2022,Unsubscribed,Workshops Delivered,27.0,100.0
420,DNR00005,41,Other,SA,2019-09-08 22:59:27.552825,DNT013362,2023-09-19,11.2,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,26/05/2023,Bounced,Workshops Delivered,24.0,100.0
425,DNR00005,41,Other,SA,2019-09-08 22:59:27.552825,DNT015165,2021-06-06,52.08,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Email,26/05/2023,Bounced,Workshops Delivered,25.0,100.0
430,DNR00006,19,Female,VIC,2016-06-27 22:59:27.552825,DNT008225,2021-03-16,13.86,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,6/03/2023,Not Reached,Workshops Delivered,37.0,100.0
445,DNR00006,19,Female,VIC,2016-06-27 22:59:27.552825,DNT010403,2020-01-03,70.93,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,6/03/2023,Not Reached,Workshops Delivered,37.0,100.0
460,DNR00006,19,Female,VIC,2016-06-27 22:59:27.552825,DNT013048,2021-05-17,52.35,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Email,6/03/2023,Not Reached,Workshops Delivered,25.0,100.0
475,DNR00006,19,Female,VIC,2016-06-27 22:59:27.552825,DNT013821,2015-09-21,266.36,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Email,6/03/2023,Not Reached,Workshops Delivered,19.0,100.0
490,DNR00007,77,Male,WA,2021-01-21 22:59:27.552825,DNT004082,2018-12-07,139.36,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Phone Call,12/08/2022,Not Reached,Workshops Delivered,27.0,100.0
500,DNR00007,77,Male,WA,2021-01-21 22:59:27.552825,DNT008774,2021-09-01,19.67,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Phone Call,12/08/2022,Not Reached,Workshops Delivered,22.0,100.0
510,DNR00007,77,Male,WA,2021-01-21 22:59:27.552825,DNT010319,2018-07-20,167.0,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Phone Call,12/08/2022,Not Reached,Workshops Delivered,22.0,100.0
520,DNR00007,77,Male,WA,2021-01-21 22:59:27.552825,DNT013105,2017-01-09,38.76,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,12/08/2022,Not Reached,Workshops Delivered,24.0,100.0
530,DNR00007,77,Male,WA,2021-01-21 22:59:27.552825,DNT013550,2015-01-23,19.68,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Phone Call,12/08/2022,Not Reached,Workshops Delivered,25.0,100.0
540,DNR00007,77,Male,WA,2021-01-21 22:59:27.552825,DNT014865,2016-10-26,53.98,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Phone Call,12/08/2022,Not Reached,Workshops Delivered,25.0,100.0
550,DNR00008,75,Female,WA,2018-01-01 22:59:27.552825,DNT008419,2015-08-08,40.51,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Social Media,1/01/2023,Engaged,Workshops Delivered,37.0,100.0
580,DNR00008,75,Female,WA,2018-01-01 22:59:27.552825,DNT012652,2023-12-05,188.2,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,1/01/2023,Engaged,Workshops Delivered,24.0,100.0
610,DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825,DNT002572,2016-06-15,331.54,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Phone Call,19/11/2022,Unsubscribed,Workshops Delivered,31.0,100.0
635,DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825,DNT006215,2019-03-17,87.79,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Phone Call,19/11/2022,Unsubscribed,Workshops Delivered,22.0,100.0
660,DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825,DNT008009,2018-04-18,44.37,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,19/11/2022,Unsubscribed,Workshops Delivered,24.0,100.0
685,DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825,DNT008843,2023-11-03,42.56,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Phone Call,19/11/2022,Unsubscribed,Workshops Delivered,25.0,100.0
710,DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825,DNT009472,2023-05-11,29.1,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Phone Call,19/11/2022,Unsubscribed,Workshops Delivered,25.0,100.0
735,DNR00009,42,Male,QLD,2023-01-01 22:59:27.552825,DNT015187,2018-10-06,24.72,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,19/11/2022,Unsubscribed,Workshops Delivered,24.0,100.0
760,DNR00010,59,Other,TAS,2023-10-13 22:59:27.552825,DNT007136,2020-12-14,266.63,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,28/07/2022,Engaged,Workshops Delivered,25.0,100.0
785,DNR00010,59,Other,TAS,2023-10-13 22:59:27.552825,DNT012672,2023-01-23,169.71,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,28/07/2022,Engaged,Workshops Delivered,40.0,100.0
810,DNR00011,64,Female,WA,2022-10-05 22:59:27.552825,DNT005405,2017-03-18,133.68,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,4/11/2022,Unsubscribed,Workshops Delivered,37.0,100.0
820,DNR00011,64,Female,WA,2022-10-05 22:59:27.552825,DNT008541,2017-11-09,86.37,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,4/11/2022,Unsubscribed,Workshops Delivered,24.0,100.0
830,DNR00011,64,Female,WA,2022-10-05 22:59:27.552825,DNT017405,2015-06-05,62.25,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Email,4/11/2022,Unsubscribed,Workshops Delivered,27.0,100.0
840,DNR00012,72,Male,SA,2015-07-14 22:59:27.552825,DNT001555,2025-01-17,71.99,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,28/04/2023,Not Reached,Workshops Delivered,31.0,100.0
870,DNR00012,72,Male,SA,2015-07-14 22:59:27.552825,DNT005812,2021-01-25,93.01,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,28/04/2023,Not Reached,Workshops Delivered,31.0,100.0
900,DNR00012,72,Male,SA,2015-07-14 22:59:27.552825,DNT010817,2020-06-15,41.66,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,28/04/2023,Not Reached,Workshops Delivered,24.0,100.0
930,DNR00012,72,Male,SA,2015-07-14 22:59:27.552825,DNT016727,2022-12-05,193.26,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Email,28/04/2023,Not Reached,Workshops Delivered,27.0,100.0
960,DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825,DNT001166,2023-03-01,25.74,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Social Media,9/12/2022,Not Reached,Workshops Delivered,24.0,100.0
995,DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825,DNT003437,2016-12-15,40.59,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,9/12/2022,Not Reached,Workshops Delivered,25.0,100.0
1030,DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825,DNT010459,2023-01-07,18.03,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Social Media,9/12/2022,Not Reached,Workshops Delivered,31.0,100.0
1065,DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825,DNT011234,2024-04-02,73.22,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Social Media,9/12/2022,Not Reached,Workshops Delivered,85.0,100.0
1100,DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825,DNT013451,2022-05-20,161.23,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,9/12/2022,Not Reached,Workshops Delivered,27.0,100.0
1135,DNR00013,68,Other,NSW,2018-08-21 22:59:27.552825,DNT013551,2024-02-20,22.3,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Social Media,9/12/2022,Not Reached,Workshops Delivered,25.0,100.0
1175,DNR00015,77,Female,VIC,2023-08-22 22:59:27.552825,DNT013535,2022-12-06,37.0,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Newsletter,2/09/2022,Unsubscribed,Workshops Delivered,31.0,100.0
1220,DNR00015,77,Female,VIC,2023-08-22 22:59:27.552825,DNT014252,2022-12-09,273.94,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,2/09/2022,Unsubscribed,Workshops Delivered,22.0,100.0
1265,DNR00015,77,Female,VIC,2023-08-22 22:59:27.552825,DNT014346,2021-03-13,13.73,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Newsletter,2/09/2022,Unsubscribed,Workshops Delivered,19.0,100.0
1310,DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825,DNT001478,2024-03-02,99.0,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,24/09/2022,Not Reached,Workshops Delivered,40.0,100.0
1345,DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825,DNT004623,2015-11-11,58.0,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Email,24/09/2022,Not Reached,Workshops Delivered,85.0,100.0
1380,DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825,DNT004941,2024-10-07,36.53,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,24/09/2022,Not Reached,Workshops Delivered,24.0,100.0
1415,DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825,DNT015314,2023-08-19,125.25,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Email,24/09/2022,Not Reached,Workshops Delivered,25.0,100.0
1450,DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825,DNT016394,2018-06-27,23.11,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,24/09/2022,Not Reached,Workshops Delivered,40.0,100.0
1485,DNR00016,26,Female,VIC,2017-02-23 22:59:27.552825,DNT016649,2018-01-07,172.41,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Email,24/09/2022,Not Reached,Workshops Delivered,25.0,100.0
1520,DNR00017,37,Other,ACT,2016-01-29 22:59:27.552825,DNT001582,2018-02-09,30.72,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,13/11/2023,Bounced,Workshops Delivered,37.0,100.0
1540,DNR00017,37,Other,ACT,2016-01-29 22:59:27.552825,DNT002689,2022-01-25,96.38,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,13/11/2023,Bounced,Workshops Delivered,22.0,100.0
1560,DNR00017,37,Other,ACT,2016-01-29 22:59:27.552825,DNT008640,2016-03-08,260.75,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,13/11/2023,Bounced,Workshops Delivered,24.0,100.0
1580,DNR00017,37,Other,ACT,2016-01-29 22:59:27.552825,DNT011930,2015-02-16,17.11,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,13/11/2023,Bounced,Workshops Delivered,24.0,100.0
1600,DNR00017,37,Other,ACT,2016-01-29 22:59:27.552825,DNT016136,2024-12-27,103.39,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,13/11/2023,Bounced,Workshops Delivered,37.0,100.0
1620,DNR00018,61,Male,ACT,2022-03-06 22:59:27.552825,DNT004837,2024-07-12,12.57,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,4/12/2022,Not Reached,Workshops Delivered,25.0,100.0
1655,DNR00018,61,Male,ACT,2022-03-06 22:59:27.552825,DNT007841,2019-10-05,68.76,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Newsletter,4/12/2022,Not Reached,Workshops Delivered,25.0,100.0
1690,DNR00018,61,Male,ACT,2022-03-06 22:59:27.552825,DNT015046,2020-03-29,18.26,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,4/12/2022,Not Reached,Workshops Delivered,22.0,100.0
1725,DNR00018,61,Male,ACT,2022-03-06 22:59:27.552825,DNT016303,2021-12-03,194.02,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,4/12/2022,Not Reached,Workshops Delivered,27.0,100.0
1760,DNR00019,52,Female,WA,2015-09-02 22:59:27.552825,DNT001014,2017-05-08,135.76,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Social Media,31/08/2022,Unsubscribed,Workshops Delivered,37.0,100.0
1785,DNR00019,52,Female,WA,2015-09-02 22:59:27.552825,DNT001859,2024-03-12,46.62,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Social Media,31/08/2022,Unsubscribed,Workshops Delivered,25.0,100.0
1810,DNR00019,52,Female,WA,2015-09-02 22:59:27.552825,DNT015531,2023-02-07,28.83,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Social Media,31/08/2022,Unsubscribed,Workshops Delivered,27.0,100.0
1835,DNR00019,52,Female,WA,2015-09-02 22:59:27.552825,DNT017154,2016-08-20,177.15,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Social Media,31/08/2022,Unsubscribed,Workshops Delivered,25.0,100.0
1860,DNR00019,52,Female,WA,2015-09-02 22:59:27.552825,DNT017780,2021-07-11,98.37,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Social Media,31/08/2022,Unsubscribed,Workshops Delivered,40.0,100.0
1891,DNR00021,71,Female,ACT,2020-03-11 22:59:27.552825,DNT012514,2023-12-11,28.68,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Newsletter,27/08/2022,Engaged,Workshops Delivered,19.0,100.0
1921,DNR00021,71,Female,ACT,2020-03-11 22:59:27.552825,DNT013209,2020-08-30,197.11,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Newsletter,27/08/2022,Engaged,Workshops Delivered,19.0,100.0
1951,DNR00021,71,Female,ACT,2020-03-11 22:59:27.552825,DNT015986,2019-10-26,94.65,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,27/08/2022,Engaged,Workshops Delivered,25.0,100.0
1981,DNR00021,71,Female,ACT,2020-03-11 22:59:27.552825,DNT017264,2023-11-27,16.5,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Newsletter,27/08/2022,Engaged,Workshops Delivered,24.0,100.0
2011,DNR00022,35,Female,VIC,2019-12-23 22:59:27.552825,DNT007405,2018-12-01,43.47,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Email,25/11/2022,Engaged,Workshops Delivered,85.0,100.0
2016,DNR00023,27,Female,TAS,2021-07-29 22:59:27.552825,DNT007569,2025-04-10,247.11,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Email,11/12/2022,Unsubscribed,Workshops Delivered,25.0,100.0
2061,DNR00023,27,Female,TAS,2021-07-29 22:59:27.552825,DNT009167,2023-12-13,22.55,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,11/12/2022,Unsubscribed,Workshops Delivered,22.0,100.0
2106,DNR00023,27,Female,TAS,2021-07-29 22:59:27.552825,DNT014182,2019-04-02,54.96,CAMP005,Youth Initiative 005,59:27.6,59:27.6,54063.32,62346.29,Email,11/12/2022,Unsubscribed,Workshops Delivered,31.0,100.0
2151,DNR00023,27,Female,TAS,2021-07-29 22:59:27.552825,DNT016604,2022-07-10,66.88,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Email,11/12/2022,Unsubscribed,Workshops Delivered,22.0,100.0
2196,DNR00023,27,Female,TAS,2021-07-29 22:59:27.552825,DNT016894,2020-12-28,182.87,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,11/12/2022,Unsubscribed,Workshops Delivered,40.0,100.0
2241,DNR00024,48,Other,TAS,2023-01-20 22:59:27.552825,DNT000087,2018-05-24,51.41,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,23/01/2023,Engaged,Workshops Delivered,24.0,100.0
2281,DNR00024,48,Other,TAS,2023-01-20 22:59:27.552825,DNT003712,2023-12-17,130.79,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Email,23/01/2023,Engaged,Workshops Delivered,27.0,100.0
2321,DNR00024,48,Other,TAS,2023-01-20 22:59:27.552825,DNT013976,2017-10-22,56.34,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,23/01/2023,Engaged,Workshops Delivered,40.0,100.0
2361,DNR00025,40,Male,SA,2017-11-19 22:59:27.552825,DNT002002,2023-08-10,23.26,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,25/12/2022,Bounced,Workshops Delivered,37.0,100.0
2396,DNR00025,40,Male,SA,2017-11-19 22:59:27.552825,DNT004345,2019-12-20,150.97,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,25/12/2022,Bounced,Workshops Delivered,24.0,100.0
2431,DNR00025,40,Male,SA,2017-11-19 22:59:27.552825,DNT006094,2015-07-17,14.31,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Email,25/12/2022,Bounced,Workshops Delivered,24.0,100.0
2466,DNR00025,40,Male,SA,2017-11-19 22:59:27.552825,DNT011152,2021-06-15,180.04,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Email,25/12/2022,Bounced,Workshops Delivered,40.0,100.0
2501,DNR00025,40,Male,SA,2017-11-19 22:59:27.552825,DNT013740,2021-02-02,72.36,CAMP003,Youth Initiative 003,59:27.6,59:27.6,38582.41,33179.39,Email,25/12/2022,Bounced,Workshops Delivered,19.0,100.0
2536,DNR00026,33,Male,ACT,2023-05-18 22:59:27.552825,DNT002239,2015-03-24,157.94,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,1/06/2023,Engaged,Workshops Delivered,37.0,100.0
2571,DNR00026,33,Male,ACT,2023-05-18 22:59:27.552825,DNT003564,2022-06-09,34.9,CAMP001,Youth Initiative 001,59:27.6,59:27.6,67859.39,57113.83,Phone Call,1/06/2023,Engaged,Workshops Delivered,25.0,100.0
2606,DNR00026,33,Male,ACT,2023-05-18 22:59:27.552825,DNT007814,2022-05-17,22.24,CAMP007,Youth Initiative 007,59:27.6,59:27.6,98304.41,79225.78,Phone Call,1/06/2023,Engaged,Workshops Delivered,24.0,100.0
2641,DNR00026,33,Male,ACT,2023-05-18 22:59:27.552825,DNT016418,2020-03-11,16.22,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Phone Call,1/06/2023,Engaged,Workshops Delivered,37.0,100.0
2676,DNR00027,70,Female,WA,2018-02-06 22:59:27.552825,DNT010573,2018-12-12,214.07,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Email,11/05/2023,Engaged,Workshops Delivered,85.0,100.0
2701,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT000894,2023-10-26,30.69,CAMP002,Youth Initiative 002,59:27.6,59:27.6,58107.99,44689.69,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,22.0,100.0
2731,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT004823,2018-07-06,20.52,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,25.0,100.0
2761,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT005357,2020-07-17,21.44,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,85.0,100.0
2791,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT006455,2023-10-23,69.92,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,27.0,100.0
2821,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT006928,2022-12-08,261.17,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,27.0,100.0
2851,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT007997,2023-01-03,468.51,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,85.0,100.0
2881,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT008141,2020-03-25,20.72,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,27.0,100.0
2911,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT009606,2016-09-27,10.46,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,40.0,100.0
2941,DNR00028,77,Male,SA,2015-10-12 22:59:27.552825,DNT012027,2017-01-26,19.86,CAMP010,Youth Initiative 010,59:27.6,59:27.6,50455.82,54176.99,Newsletter,9/02/2023,Unsubscribed,Workshops Delivered,40.0,100.0
2971,DNR00029,32,Male,NSW,2024-02-15 22:59:27.552825,DNT010749,2023-08-21,34.23,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Phone Call,14/11/2022,Bounced,Workshops Delivered,25.0,100.0
3016,DNR00030,24,Male,NSW,2020-07-22 22:59:27.552825,DNT000106,2023-10-20,39.79,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,13/10/2023,Bounced,Workshops Delivered,25.0,100.0
3036,DNR00030,24,Male,NSW,2020-07-22 22:59:27.552825,DNT006021,2019-01-11,66.12,CAMP008,Youth Initiative 008,59:27.6,59:27.6,98200.79,102566.77,Newsletter,13/10/2023,Bounced,Workshops Delivered,85.0,100.0
3056,DNR00030,24,Male,NSW,2020-07-22 22:59:27.552825,DNT014333,2024-07-17,303.59,CAMP006,Youth Initiative 006,59:27.6,59:27.6,33193.34,39159.84,Newsletter,13/10/2023,Bounced,Workshops Delivered,25.0,100.0
3076,DNR00030,24,Male,NSW,2020-07-22 22:59:27.552825,DNT016990,2016-12-21,245.56,CAMP004,Youth Initiative 004,59:27.6,59:27.6,49248.12,56117.36,Newsletter,13/10/2023,Bounced,Workshops Delivered,27.0,100.0
3096,DNR00031,61,Other,QLD,2021-02-12 22:59:27.552825,DNT002478,2020-01-27,91.33,CAMP009,Youth Initiative 009,59:27.6,59:27.6,69723.66,68170.79,Email,2/08/2022,Bounced,Workshops Delivered,37.0,100.0
