DonorID,Age,Gender,Location,JoinDate
DNR00112,43,Other,NSW,2019-04-05 22:59:27.552825
DNR00113,41,Male,VIC,2016-06-05 22:59:27.552825
DNR00114,24,Male,SA,2024-03-15 22:59:27.552825
DNR00115,37,Male,TAS,2017-04-17 22:59:27.552825
DNR00116,33,Female,QLD,2021-08-22 22:59:27.552825
DNR00117,40,Other,VIC,2021-03-31 22:59:27.552825
DNR00118,19,Other,TAS,2018-11-15 22:59:27.552825
DNR00119,68,Male,TAS,2022-09-23 22:59:27.552825
DNR00120,78,Female,VIC,2017-11-01 22:59:27.552825
DNR00121,39,Male,VIC,2019-08-09 22:59:27.552825
DNR00122,23,Other,QLD,2021-05-08 22:59:27.552825
DNR00123,77,Male,NT,2015-12-23 22:59:27.552825
DNR00124,70,Male,WA,2021-03-20 22:59:27.552825
DNR00125,23,Male,WA,2021-08-02 22:59:27.552825
DNR00126,47,Other,ACT,2016-04-27 22:59:27.552825
DNR00127,57,Male,WA,2023-04-16 22:59:27.552825
DNR00128,59,Female,NSW,2019-09-11 22:59:27.552825
DNR00129,73,Other,WA,2019-05-06 22:59:27.552825
DNR00130,75,Other,SA,2020-07-20 22:59:27.552825
DNR00131,43,Male,ACT,2019-03-24 22:59:27.552825
DNR00132,26,Male,VIC,2019-09-29 22:59:27.552825
DNR00133,75,Male,NT,2016-07-01 22:59:27.552825
DNR00134,79,Female,NSW,2022-10-08 22:59:27.552825
DNR00135,57,Male,NT,2021-11-05 22:59:27.552825
DNR00136,78,Other,ACT,2022-05-17 22:59:27.552825
DNR00137,22,Female,ACT,2016-05-03 22:59:27.552825
DNR00138,20,Female,QLD,2019-09-14 22:59:27.552825
DNR00139,54,Female,SA,2016-10-14 22:59:27.552825
DNR00140,31,Male,NSW,2015-10-06 22:59:27.552825
DNR00141,47,Female,WA,2021-09-05 22:59:27.552825
DNR00142,22,Female,NT,2017-05-25 22:59:27.552825
DNR00143,38,Other,NSW,2019-10-28 22:59:27.552825
DNR00144,79,Female,ACT,2023-04-29 22:59:27.552825
DNR00145,75,Female,SA,2019-06-04 22:59:27.552825
DNR00146,53,Female,ACT,2015-05-26 22:59:27.552825
DNR00147,27,Female,NT,2017-06-26 22:59:27.552825
DNR00148,18,Male,NT,2022-11-21 22:59:27.552825
DNR00149,41,Other,NSW,2017-12-27 22:59:27.552825
DNR00150,45,Other,NT,2021-12-20 22:59:27.552825
DNR00151,29,Female,NSW,2017-08-27 22:59:27.552825
DNR00152,50,Male,QLD,2016-10-20 22:59:27.552825
DNR00153,54,Other,NT,2020-05-10 22:59:27.552825
DNR00154,27,Other,SA,2023-07-10 22:59:27.552825
DNR00155,29,Other,VIC,2017-04-30 22:59:27.552825
DNR00156,52,Other,VIC,2016-05-15 22:59:27.552825
DNR00157,25,Male,VIC,2016-01-15 22:59:27.552825
DNR00158,79,Female,NSW,2023-12-27 22:59:27.552825
DNR00159,24,Female,SA,2019-10-14 22:59:27.552825
DNR00160,28,Male,SA,2022-04-22 22:59:27.552825
DNR00161,78,Male,VIC,2022-06-14 22:59:27.552825
DNR00162,54,Male,NT,2016-03-05 22:59:27.552825
DNR00163,52,Male,NT,2021-03-24 22:59:27.552825
DNR00164,53,Female,ACT,2021-07-16 22:59:27.552825
DNR00165,49,Other,NT,2015-05-16 22:59:27.552825
DNR00166,54,Male,ACT,2020-01-23 22:59:27.552825
DNR00167,42,Other,TAS,2021-11-29 22:59:27.552825
DNR00168,34,Male,WA,2018-07-11 22:59:27.552825
DNR00169,65,Male,SA,2020-07-24 22:59:27.552825
DNR00170,76,Other,WA,2018-03-18 22:59:27.552825
DNR00171,29,Male,NSW,2024-02-04 22:59:27.552825
DNR00172,24,Female,NT,2016-09-06 22:59:27.552825
DNR00173,69,Other,NT,2020-06-29 22:59:27.552825
DNR00174,70,Male,WA,2015-08-15 22:59:27.552825
DNR00175,42,Other,WA,2020-03-19 22:59:27.552825
DNR00176,70,Other,NSW,2021-02-07 22:59:27.552825
DNR00177,56,Male,VIC,2021-05-20 22:59:27.552825
DNR00178,56,Female,SA,2022-07-26 22:59:27.552825
DNR00179,52,Other,QLD,2022-04-18 22:59:27.552825
DNR00180,28,Female,WA,2022-03-31 22:59:27.552825
DNR00181,26,Female,WA,2021-09-09 22:59:27.552825
DNR00182,34,Male,TAS,2020-01-29 22:59:27.552825
DNR00183,30,Female,VIC,2020-06-03 22:59:27.552825
DNR00184,44,Female,SA,2020-12-19 22:59:27.552825
DNR00185,46,Male,QLD,2020-05-05 22:59:27.552825
DNR00186,25,Male,TAS,2019-03-21 22:59:27.552825
DNR00187,69,Male,ACT,2022-11-26 22:59:27.552825
DNR00188,42,Male,WA,2021-02-19 22:59:27.552825
DNR00189,23,Other,SA,2019-05-06 22:59:27.552825
DNR00190,61,Female,QLD,2018-03-28 22:59:27.552825
DNR00191,27,Female,TAS,2024-03-12 22:59:27.552825
DNR00192,20,Male,VIC,2022-07-07 22:59:27.552825
DNR00193,45,Female,WA,2021-05-04 22:59:27.552825
DNR00194,45,Male,NSW,2021-11-07 22:59:27.552825
DNR00195,56,Male,SA,2017-08-20 22:59:27.552825
DNR00196,45,Female,ACT,2022-12-02 22:59:27.552825
DNR00197,77,Male,NSW,2022-01-17 22:59:27.552825
DNR00198,55,Male,VIC,2023-12-08 22:59:27.552825
DNR00199,61,Male,SA,2016-11-08 22:59:27.552825
DNR00200,78,Other,NT,2021-02-02 22:59:27.552825
DNR00201,71,Male,WA,2023-09-30 22:59:27.552825
DNR00202,54,Other,WA,2019-09-11 22:59:27.552825
DNR00203,74,Female,NSW,2018-07-26 22:59:27.552825
DNR00204,66,Female,ACT,2021-02-08 22:59:27.552825
DNR00205,18,Male,ACT,2016-11-24 22:59:27.552825
DNR00206,74,Other,VIC,2021-06-19 22:59:27.552825
DNR00207,49,Female,NT,2016-01-13 22:59:27.552825
DNR00208,45,Male,VIC,2021-06-23 22:59:27.552825
DNR00209,45,Female,WA,2016-10-13 22:59:27.552825
DNR00210,67,Male,WA,2024-03-10 22:59:27.552825
DNR00211,44,Female,NSW,2016-01-26 22:59:27.552825
DNR00212,26,Male,WA,2018-09-22 22:59:27.552825
DNR00213,30,Male,TAS,2016-03-16 22:59:27.552825
DNR00214,52,Male,VIC,2023-03-27 22:59:27.552825
DNR00215,68,Male,NSW,2019-04-08 22:59:27.552825
DNR00216,19,Female,TAS,2016-06-09 22:59:27.552825
DNR00217,67,Other,SA,2021-11-25 22:59:27.552825
DNR00218,72,Male,NSW,2023-04-12 22:59:27.552825
DNR00219,35,Other,QLD,2018-03-18 22:59:27.552825
DNR00220,38,Female,NSW,2024-02-17 22:59:27.552825
DNR00221,39,Other,NSW,2016-07-08 22:59:27.552825
DNR00222,30,Male,NSW,2019-10-30 22:59:27.552825
DNR00223,52,Other,SA,2023-04-01 22:59:27.552825
DNR00224,65,Other,WA,2022-11-19 22:59:27.552825
DNR00225,34,Male,TAS,2019-09-25 22:59:27.552825
DNR00226,20,Male,SA,2015-10-30 22:59:27.552825
DNR00227,70,Male,VIC,2022-05-07 22:59:27.552825
DNR00228,36,Male,TAS,2015-08-29 22:59:27.552825
DNR00229,26,Female,QLD,2018-09-10 22:59:27.552825
DNR00230,62,Male,NSW,2020-04-11 22:59:27.552825
DNR00231,66,Female,NT,2018-06-08 22:59:27.552825
DNR00232,56,Female,VIC,2023-08-14 22:59:27.552825
DNR00233,71,Female,QLD,2022-03-11 22:59:27.552825
DNR00234,67,Male,WA,2021-05-08 22:59:27.552825
DNR00235,22,Female,NSW,2022-03-19 22:59:27.552825
DNR00236,34,Other,ACT,2016-03-06 22:59:27.552825
DNR00237,54,Male,QLD,2022-09-20 22:59:27.552825
DNR00238,68,Other,VIC,2022-03-18 22:59:27.552825
DNR00239,55,Female,VIC,2018-06-05 22:59:27.552825
DNR00240,47,Other,QLD,2016-05-05 22:59:27.552825
DNR00241,51,Male,NSW,2023-11-06 22:59:27.552825
DNR00242,41,Other,TAS,2021-07-05 22:59:27.552825
DNR00243,72,Female,SA,2018-06-22 22:59:27.552825
DNR00244,46,Female,NSW,2018-03-11 22:59:27.552825
DNR00245,27,Male,NT,2019-03-02 22:59:27.552825
DNR00246,22,Female,VIC,2018-07-20 22:59:27.552825
DNR00247,30,Female,NT,2024-03-08 22:59:27.552825
DNR00248,28,Other,NSW,2018-05-23 22:59:27.552825
DNR00249,40,Other,ACT,2016-05-16 22:59:27.552825
DNR00250,28,Female,NT,2019-01-01 22:59:27.552825
DNR00251,21,Male,NT,2015-05-11 22:59:27.552825
DNR00252,20,Other,NT,2024-01-18 22:59:27.552825
DNR00253,67,Male,QLD,2016-12-16 22:59:27.552825
DNR00254,36,Male,VIC,2021-06-26 22:59:27.552825
DNR00255,45,Female,SA,2017-03-26 22:59:27.552825
DNR00256,23,Male,NSW,2016-12-05 22:59:27.552825
DNR00257,29,Female,VIC,2015-10-07 22:59:27.552825
DNR00258,66,Female,SA,2019-07-02 22:59:27.552825
DNR00259,44,Male,NSW,2016-07-09 22:59:27.552825
DNR00260,64,Male,ACT,2018-02-09 22:59:27.552825
DNR00261,73,Female,ACT,2024-01-04 22:59:27.552825
DNR00262,65,Male,VIC,2023-05-19 22:59:27.552825
DNR00263,53,Male,NSW,2018-09-03 22:59:27.552825
DNR00264,52,Male,ACT,2019-08-09 22:59:27.552825
DNR00265,64,Other,TAS,2024-02-24 22:59:27.552825
DNR00266,31,Female,ACT,2024-03-23 22:59:27.552825
DNR00267,31,Female,VIC,2023-04-21 22:59:27.552825
DNR00268,31,Other,QLD,2020-08-23 22:59:27.552825
DNR00269,24,Other,ACT,2019-10-17 22:59:27.552825
DNR00270,63,Other,WA,2019-06-11 22:59:27.552825
DNR00271,62,Female,QLD,2016-06-27 22:59:27.552825
DNR00272,68,Other,NSW,2020-12-21 22:59:27.552825
DNR00273,72,Male,VIC,2018-08-14 22:59:27.552825
DNR00274,56,Male,ACT,2020-10-01 22:59:27.552825
DNR00275,39,Female,WA,2023-12-16 22:59:27.552825
DNR00276,42,Male,NSW,2015-04-24 22:59:27.552825
DNR00277,21,Female,NSW,2024-02-13 22:59:27.552825
DNR00278,62,Female,WA,2018-05-23 22:59:27.552825
DNR00279,64,Female,ACT,2018-08-08 22:59:27.552825
DNR00280,25,Male,QLD,2016-08-24 22:59:27.552825
DNR00281,59,Male,TAS,2017-01-06 22:59:27.552825
DNR00282,69,Female,QLD,2019-06-24 22:59:27.552825
DNR00283,73,Other,TAS,2021-11-25 22:59:27.552825
DNR00284,54,Male,SA,2020-09-15 22:59:27.552825
DNR00285,39,Male,TAS,2019-07-22 22:59:27.552825
DNR00286,72,Female,TAS,2016-05-21 22:59:27.552825
DNR00287,79,Female,NT,2019-11-02 22:59:27.552825
DNR00288,72,Male,QLD,2022-03-23 22:59:27.552825
DNR00289,68,Other,SA,2021-05-22 22:59:27.552825
DNR00290,53,Other,VIC,2024-04-14 22:59:27.552825
DNR00291,37,Other,ACT,2024-04-16 22:59:27.552825
DNR00292,23,Female,TAS,2016-04-13 22:59:27.552825
DNR00293,73,Female,TAS,2021-09-16 22:59:27.552825
DNR00294,74,Female,QLD,2021-12-25 22:59:27.552825
DNR00295,25,Female,SA,2020-04-22 22:59:27.552825
DNR00296,61,Male,VIC,2017-10-20 22:59:27.552825
DNR00297,71,Other,NSW,2022-04-27 22:59:27.552825
DNR00298,37,Male,ACT,2018-04-24 22:59:27.552825
DNR00299,18,Female,NT,2022-07-06 22:59:27.552825
DNR00300,55,Male,QLD,2019-01-19 22:59:27.552825
DNR00301,53,Male,QLD,2018-10-02 22:59:27.552825
DNR00302,50,Female,NT,2022-05-31 22:59:27.552825
DNR00303,27,Male,VIC,2018-12-25 22:59:27.552825
DNR00304,61,Female,NT,2018-08-29 22:59:27.552825
DNR00305,19,Male,SA,2020-08-16 22:59:27.552825
DNR00306,26,Male,QLD,2016-07-26 22:59:27.552825
DNR00307,32,Female,QLD,2018-09-20 22:59:27.552825
DNR00308,47,Other,TAS,2019-11-28 22:59:27.552825
DNR00309,77,Female,SA,2023-05-22 22:59:27.552825
DNR00310,73,Other,VIC,2021-02-14 22:59:27.552825
DNR00311,29,Other,NSW,2020-01-01 22:59:27.552825
DNR00312,57,Female,SA,2019-03-22 22:59:27.552825
DNR00313,25,Other,SA,2021-11-29 22:59:27.552825
DNR00314,31,Female,SA,2020-09-13 22:59:27.552825
DNR00315,54,Male,QLD,2016-05-13 22:59:27.552825
DNR00316,31,Female,WA,2017-02-14 22:59:27.552825
DNR00317,42,Male,NSW,2021-05-20 22:59:27.552825
DNR00318,35,Other,TAS,2022-08-13 22:59:27.552825
DNR00319,49,Other,NSW,2017-07-16 22:59:27.552825
DNR00320,40,Other,NSW,2018-04-21 22:59:27.552825
DNR00321,42,Male,ACT,2020-11-18 22:59:27.552825
DNR00322,72,Female,SA,2018-10-31 22:59:27.552825
DNR00323,57,Other,QLD,2015-10-14 22:59:27.552825
DNR00324,23,Female,ACT,2017-02-09 22:59:27.552825
DNR00325,68,Female,WA,2020-04-09 22:59:27.552825
DNR00326,32,Other,NSW,2019-09-01 22:59:27.552825
DNR00327,69,Female,QLD,2020-11-12 22:59:27.552825
DNR00328,53,Male,NSW,2017-03-10 22:59:27.552825
DNR00329,50,Male,QLD,2015-12-19 22:59:27.552825
DNR00330,72,Male,WA,2020-10-20 22:59:27.552825
DNR00331,39,Female,QLD,2022-11-20 22:59:27.552825
DNR00332,27,Male,TAS,2021-03-05 22:59:27.552825
DNR00333,30,Other,WA,2022-01-26 22:59:27.552825
DNR00334,62,Other,NT,2015-06-18 22:59:27.552825
DNR00335,22,Male,WA,2018-07-26 22:59:27.552825
DNR00336,29,Male,QLD,2023-12-12 22:59:27.552825
DNR00337,48,Other,WA,2016-08-17 22:59:27.552825
DNR00338,53,Female,QLD,2019-04-12 22:59:27.552825
DNR00339,22,Other,NT,2019-03-12 22:59:27.552825
DNR00340,55,Female,ACT,2022-05-09 22:59:27.552825
DNR00341,64,Female,QLD,2017-11-13 22:59:27.552825
DNR00342,29,Female,NT,2018-04-23 22:59:27.552825
DNR00343,79,Female,NSW,2021-08-09 22:59:27.552825
DNR00344,64,Other,WA,2015-12-12 22:59:27.552825
DNR00345,65,Male,SA,2016-04-06 22:59:27.552825
DNR00346,25,Other,NSW,2015-08-08 22:59:27.552825
DNR00347,45,Other,TAS,2019-01-08 22:59:27.552825
DNR00348,68,Male,ACT,2016-07-24 22:59:27.552825
DNR00349,18,Female,SA,2019-10-27 22:59:27.552825
DNR00350,43,Female,TAS,2017-07-18 22:59:27.552825
DNR00351,40,Male,ACT,2015-11-21 22:59:27.552825
DNR00352,71,Other,NT,2017-09-05 22:59:27.552825
DNR00353,32,Male,SA,2016-01-16 22:59:27.552825
DNR00354,26,Female,SA,2017-11-02 22:59:27.552825
DNR00355,43,Male,WA,2022-09-23 22:59:27.552825
DNR00356,42,Female,TAS,2018-06-28 22:59:27.552825
DNR00357,19,Other,QLD,2015-04-26 22:59:27.552825
DNR00358,51,Other,QLD,2016-12-10 22:59:27.552825
DNR00359,76,Other,TAS,2021-01-03 22:59:27.552825
DNR00360,41,Male,WA,2018-11-07 22:59:27.552825
DNR00361,23,Male,NSW,2019-02-26 22:59:27.552825
DNR00362,66,Male,QLD,2024-02-17 22:59:27.552825
DNR00363,39,Female,VIC,2018-04-08 22:59:27.552825
DNR00364,38,Male,NSW,2021-08-27 22:59:27.552825
DNR00365,37,Male,WA,2022-06-01 22:59:27.552825
DNR00366,71,Female,ACT,2017-05-23 22:59:27.552825
DNR00367,78,Male,NSW,2023-05-29 22:59:27.552825
DNR00368,49,Male,ACT,2021-08-04 22:59:27.552825
DNR00369,68,Other,QLD,2021-09-11 22:59:27.552825
DNR00370,79,Female,NSW,2017-11-30 22:59:27.552825
DNR00371,62,Male,NT,2023-07-09 22:59:27.552825
DNR00372,57,Other,NSW,2018-08-24 22:59:27.552825
DNR00373,31,Other,VIC,2015-05-31 22:59:27.552825
DNR00374,19,Female,NSW,2021-08-06 22:59:27.552825
DNR00375,67,Female,QLD,2019-08-23 22:59:27.552825
DNR00376,21,Male,ACT,2016-02-29 22:59:27.552825
DNR00377,56,Other,VIC,2022-02-10 22:59:27.552825
DNR00378,27,Other,VIC,2019-02-04 22:59:27.552825
DNR00379,77,Male,ACT,2018-06-16 22:59:27.552825
DNR00380,45,Female,NSW,2015-11-14 22:59:27.552825
DNR00381,74,Other,NT,2019-03-19 22:59:27.552825
DNR00382,40,Other,SA,2019-05-26 22:59:27.552825
DNR00383,25,Female,ACT,2016-08-11 22:59:27.552825
DNR00384,54,Other,NSW,2015-10-02 22:59:27.552825
DNR00385,45,Other,VIC,2020-10-10 22:59:27.552825
DNR00386,52,Female,NT,2020-09-16 22:59:27.552825
DNR00387,63,Other,WA,2023-01-24 22:59:27.552825
DNR00388,54,Female,TAS,2017-05-30 22:59:27.552825
DNR00389,48,Other,VIC,2021-09-19 22:59:27.552825
DNR00390,24,Female,NSW,2022-03-07 22:59:27.552825
DNR00391,40,Male,NT,2023-11-25 22:59:27.552825
DNR00392,78,Other,SA,2019-12-31 22:59:27.552825
DNR00393,77,Female,NSW,2022-11-23 22:59:27.552825
DNR00394,64,Male,QLD,2018-12-28 22:59:27.552825
DNR00395,59,Other,QLD,2020-06-10 22:59:27.552825
DNR00396,40,Other,WA,2023-03-21 22:59:27.552825
DNR00397,22,Male,NT,2021-09-29 22:59:27.552825
DNR00398,47,Male,WA,2021-05-09 22:59:27.552825
DNR00399,52,Female,WA,2016-05-10 22:59:27.552825
DNR00400,41,Male,TAS,2016-09-27 22:59:27.552825
DNR00401,73,Other,NT,2023-12-14 22:59:27.552825
DNR00402,34,Female,NSW,2015-07-30 22:59:27.552825
DNR00403,31,Male,VIC,2017-03-08 22:59:27.552825
DNR00404,62,Male,TAS,2015-05-05 22:59:27.552825
DNR00405,39,Other,WA,2017-05-05 22:59:27.552825
DNR00406,43,Female,SA,2018-08-13 22:59:27.552825
DNR00407,51,Other,QLD,2022-02-05 22:59:27.552825
DNR00408,23,Female,SA,2018-05-06 22:59:27.552825
DNR00409,59,Male,VIC,2016-02-20 22:59:27.552825
DNR00410,34,Male,TAS,2015-06-22 22:59:27.552825
DNR00411,75,Other,SA,2023-05-14 22:59:27.552825
DNR00412,44,Male,QLD,2022-07-14 22:59:27.552825
DNR00413,57,Female,SA,2017-12-17 22:59:27.552825
DNR00414,74,Male,VIC,2023-01-21 22:59:27.552825
DNR00415,62,Male,SA,2016-03-03 22:59:27.552825
DNR00416,45,Female,TAS,2016-12-16 22:59:27.552825
DNR00417,19,Female,NSW,2020-07-03 22:59:27.552825
DNR00418,68,Male,VIC,2020-06-25 22:59:27.552825
DNR00419,46,Male,QLD,2020-09-08 22:59:27.552825
DNR00420,53,Male,ACT,2023-10-16 22:59:27.552825
DNR00421,57,Other,VIC,2020-08-25 22:59:27.552825
DNR00422,72,Other,TAS,2016-11-16 22:59:27.552825
DNR00423,39,Male,VIC,2020-09-15 22:59:27.552825
DNR00424,53,Other,QLD,2015-06-27 22:59:27.552825
DNR00425,52,Other,QLD,2016-01-27 22:59:27.552825
DNR00426,62,Other,NSW,2022-12-25 22:59:27.552825
DNR00427,43,Female,NSW,2020-02-16 22:59:27.552825
DNR00428,26,Male,NSW,2019-09-29 22:59:27.552825
DNR00429,78,Other,VIC,2019-10-24 22:59:27.552825
DNR00430,42,Other,VIC,2023-12-11 22:59:27.552825
DNR00431,54,Other,VIC,2024-01-09 22:59:27.552825
DNR00432,29,Other,WA,2019-10-27 22:59:27.552825
DNR00433,76,Other,SA,2016-06-16 22:59:27.552825
DNR00434,34,Female,ACT,2020-02-20 22:59:27.552825
DNR00435,29,Female,QLD,2023-09-17 22:59:27.552825
DNR00436,25,Other,NSW,2016-11-19 22:59:27.552825
DNR00437,40,Male,NT,2017-09-02 22:59:27.552825
DNR00438,23,Male,NSW,2017-06-02 22:59:27.552825
DNR00439,29,Other,SA,2022-12-18 22:59:27.552825
DNR00440,43,Other,NT,2022-03-04 22:59:27.552825
DNR00441,24,Male,SA,2019-04-29 22:59:27.552825
DNR00442,39,Female,TAS,2023-03-26 22:59:27.552825
DNR00443,32,Male,QLD,2023-12-05 22:59:27.552825
DNR00444,65,Female,ACT,2022-01-14 22:59:27.552825
DNR00445,46,Female,WA,2021-08-04 22:59:27.552825
DNR00446,56,Other,QLD,2023-03-15 22:59:27.552825
DNR00447,59,Other,TAS,2020-10-01 22:59:27.552825
DNR00448,48,Other,WA,2016-12-30 22:59:27.552825
DNR00449,62,Female,SA,2023-12-11 22:59:27.552825
DNR00450,60,Female,ACT,2023-10-20 22:59:27.552825
DNR00451,61,Other,WA,2017-05-02 22:59:27.552825
DNR00452,46,Female,SA,2021-10-12 22:59:27.552825
DNR00453,35,Male,SA,2024-04-04 22:59:27.552825
DNR00454,59,Female,QLD,2023-06-14 22:59:27.552825
DNR00455,59,Female,QLD,2017-07-24 22:59:27.552825
