DonorID,Channel,Date,EngagementOutcome
DNR00058,Email,2/01/2023,Unsubscribed
DNR00058,Email,11/05/2023,Not Reached
DNR00058,Email,13/09/2023,Unsubscribed
DNR00058,Email,30/09/2024,Engaged
DNR00058,Newsletter,31/10/2024,Not Reached
DNR00058,Email,14/01/2025,Engaged
DNR00059,Email,30/08/2022,Unsubscribed
DNR00059,Newsletter,21/12/2022,Engaged
DNR00060,Email,16/04/2025,Bounced
DNR00061,Phone Call,14/02/2023,Unsubscribed
DNR00061,Newsletter,23/02/2024,Engaged
DNR00061,Email,1/11/2024,Engaged
DNR00061,Email,1/12/2024,Engaged
DNR00061,Newsletter,15/02/2025,Unsubscribed
DNR00062,Email,3/11/2022,Engaged
DNR00062,Email,10/12/2022,Not Reached
DNR00062,Email,3/04/2023,Bounced
DNR00062,Email,10/05/2023,Bounced
DNR00062,Phone Call,12/05/2023,Engaged
DNR00062,Newsletter,6/04/2024,Engaged
DNR00063,Social Media,1/01/2023,Engaged
DNR00063,Newsletter,11/08/2024,Engaged
DNR00064,Social Media,16/04/2023,Bounced
DNR00064,Social Media,3/07/2023,Bounced
DNR00064,Email,16/10/2023,Engaged
DNR00064,Newsletter,7/11/2023,Engaged
DNR00064,Social Media,26/05/2024,Not Reached
DNR00064,Email,18/10/2024,Engaged
DNR00065,Social Media,20/02/2023,Unsubscribed
DNR00065,Phone Call,15/03/2023,Engaged
DNR00065,Email,30/07/2023,Unsubscribed
DNR00065,Social Media,13/04/2024,Engaged
DNR00065,Social Media,14/06/2024,Engaged
DNR00065,Newsletter,25/06/2024,Engaged
DNR00065,Newsletter,11/07/2024,Bounced
DNR00065,Email,19/11/2024,Unsubscribed
DNR00066,Email,29/01/2023,Not Reached
DNR00066,Phone Call,29/06/2023,Unsubscribed
DNR00066,Phone Call,28/09/2023,Bounced
DNR00066,Phone Call,4/10/2024,Engaged
DNR00066,Email,16/01/2025,Bounced
DNR00066,Email,15/02/2025,Engaged
DNR00067,Email,24/11/2022,Unsubscribed
DNR00067,Email,10/02/2023,Engaged
DNR00067,Email,21/06/2024,Bounced
DNR00067,Email,28/10/2024,Engaged
DNR00067,Email,9/02/2025,Bounced
DNR00068,Email,8/08/2022,Engaged
DNR00068,Phone Call,18/12/2023,Unsubscribed
DNR00068,Newsletter,12/02/2024,Engaged
DNR00068,Phone Call,14/04/2024,Engaged
DNR00068,Email,2/04/2025,Engaged
DNR00069,Email,20/08/2022,Engaged
DNR00069,Phone Call,29/11/2022,Engaged
DNR00069,Email,1/01/2024,Engaged
DNR00069,Email,30/04/2024,Bounced
DNR00070,Email,17/03/2023,Engaged
DNR00070,Newsletter,5/04/2023,Engaged
DNR00070,Newsletter,7/05/2023,Bounced
DNR00070,Email,6/07/2023,Not Reached
DNR00070,Social Media,15/07/2023,Engaged
DNR00070,Newsletter,24/09/2023,Bounced
DNR00070,Social Media,29/09/2023,Engaged
DNR00070,Social Media,12/06/2024,Unsubscribed
DNR00070,Newsletter,4/11/2024,Bounced
DNR00071,Newsletter,20/09/2022,Bounced
DNR00071,Newsletter,29/06/2023,Engaged
DNR00071,Phone Call,23/08/2023,Bounced
DNR00071,Social Media,19/10/2023,Engaged
DNR00071,Phone Call,15/11/2023,Engaged
DNR00071,Phone Call,17/11/2023,Engaged
DNR00071,Email,10/08/2024,Not Reached
DNR00071,Newsletter,20/08/2024,Unsubscribed
DNR00071,Email,27/02/2025,Engaged
DNR00072,Phone Call,21/08/2022,Engaged
DNR00072,Email,14/09/2022,Engaged
DNR00072,Email,3/02/2023,Engaged
DNR00072,Email,24/02/2023,Engaged
DNR00072,Email,29/04/2023,Engaged
DNR00072,Email,6/08/2024,Engaged
DNR00072,Social Media,15/10/2024,Engaged
DNR00072,Email,15/11/2024,Engaged
DNR00073,Email,24/04/2024,Engaged
DNR00073,Email,28/11/2024,Unsubscribed
DNR00074,Phone Call,17/08/2022,Unsubscribed
DNR00074,Email,1/09/2022,Unsubscribed
DNR00074,Email,8/11/2022,Engaged
DNR00074,Newsletter,29/04/2023,Engaged
DNR00074,Newsletter,31/01/2024,Unsubscribed
DNR00074,Phone Call,3/06/2024,Unsubscribed
DNR00074,Email,17/12/2024,Not Reached
DNR00074,Email,27/03/2025,Unsubscribed
DNR00075,Email,4/08/2023,Unsubscribed
DNR00075,Phone Call,6/10/2024,Engaged
DNR00075,Newsletter,1/02/2025,Not Reached
DNR00076,Email,31/07/2022,Unsubscribed
DNR00076,Email,22/01/2023,Engaged
DNR00076,Social Media,25/03/2023,Not Reached
DNR00076,Newsletter,9/10/2023,Unsubscribed
DNR00076,Email,3/04/2024,Engaged
DNR00077,Social Media,11/03/2023,Engaged
DNR00077,Email,23/06/2023,Bounced
DNR00077,Email,4/09/2023,Engaged
DNR00077,Social Media,25/12/2023,Bounced
DNR00077,Newsletter,29/04/2024,Unsubscribed
DNR00077,Social Media,22/05/2024,Engaged
DNR00077,Email,7/07/2024,Bounced
DNR00077,Phone Call,4/12/2024,Unsubscribed
DNR00078,Email,10/11/2022,Engaged
DNR00078,Newsletter,9/02/2023,Engaged
DNR00078,Social Media,2/07/2023,Engaged
DNR00078,Email,16/09/2023,Not Reached
DNR00078,Social Media,6/04/2024,Bounced
DNR00078,Email,8/06/2024,Engaged
DNR00078,Social Media,25/08/2024,Engaged
DNR00078,Phone Call,30/01/2025,Engaged
DNR00079,Social Media,25/10/2022,Engaged
DNR00079,Newsletter,10/08/2023,Not Reached
DNR00079,Phone Call,7/01/2024,Engaged
DNR00079,Newsletter,3/05/2024,Engaged
DNR00079,Email,20/05/2024,Engaged
DNR00079,Email,14/09/2024,Engaged
DNR00080,Email,26/04/2023,Bounced
DNR00080,Email,6/09/2023,Engaged
DNR00080,Newsletter,23/09/2023,Engaged
DNR00080,Social Media,17/03/2024,Engaged
DNR00080,Phone Call,21/07/2024,Engaged
DNR00080,Email,16/12/2024,Engaged
DNR00080,Newsletter,18/01/2025,Unsubscribed
DNR00080,Email,26/03/2025,Engaged
DNR00080,Email,31/03/2025,Engaged
DNR00081,Email,17/06/2024,Engaged
DNR00081,Social Media,24/01/2025,Engaged
DNR00082,Email,11/08/2022,Unsubscribed
DNR00082,Phone Call,12/08/2022,Engaged
DNR00082,Social Media,29/10/2022,Not Reached
DNR00082,Social Media,20/07/2023,Unsubscribed
DNR00082,Phone Call,30/07/2024,Unsubscribed
DNR00082,Newsletter,5/10/2024,Engaged
DNR00082,Email,17/12/2024,Bounced
DNR00083,Newsletter,15/10/2022,Engaged
DNR00083,Phone Call,20/11/2022,Not Reached
DNR00083,Email,5/04/2023,Bounced
DNR00083,Email,9/05/2023,Engaged
DNR00083,Email,18/07/2023,Bounced
DNR00083,Email,25/08/2023,Engaged
DNR00083,Email,10/01/2024,Bounced
DNR00083,Email,5/01/2025,Bounced
DNR00084,Phone Call,26/08/2022,Not Reached
DNR00085,Newsletter,7/10/2022,Engaged
DNR00085,Email,16/12/2022,Not Reached
DNR00085,Phone Call,2/05/2023,Bounced
DNR00085,Email,2/06/2023,Unsubscribed
DNR00085,Email,14/06/2023,Engaged
DNR00085,Email,28/08/2023,Engaged
DNR00085,Newsletter,21/07/2024,Engaged
DNR00085,Email,21/08/2024,Not Reached
DNR00086,Social Media,9/08/2022,Engaged
DNR00086,Newsletter,7/10/2022,Engaged
DNR00086,Newsletter,15/11/2022,Engaged
DNR00086,Email,17/01/2023,Engaged
DNR00086,Email,7/01/2024,Bounced
DNR00086,Email,30/03/2024,Engaged
DNR00086,Email,10/05/2024,Bounced
DNR00086,Phone Call,7/02/2025,Bounced
DNR00087,Social Media,3/09/2022,Engaged
DNR00087,Newsletter,29/09/2024,Engaged
DNR00088,Email,19/07/2023,Bounced
DNR00088,Email,26/08/2023,Unsubscribed
DNR00088,Email,26/12/2023,Engaged
DNR00089,Email,23/09/2023,Bounced
DNR00089,Social Media,21/07/2024,Unsubscribed
DNR00089,Newsletter,27/08/2024,Engaged
DNR00089,Phone Call,28/12/2024,Not Reached
DNR00089,Email,16/02/2025,Engaged
DNR00090,Phone Call,10/04/2023,Not Reached
DNR00090,Email,15/04/2023,Engaged
DNR00090,Email,13/09/2023,Engaged
DNR00090,Newsletter,24/01/2024,Not Reached
DNR00090,Social Media,14/03/2024,Not Reached
DNR00090,Email,23/03/2024,Engaged
DNR00091,Email,4/07/2023,Engaged
DNR00091,Social Media,11/05/2024,Engaged
DNR00091,Social Media,30/03/2025,Engaged
DNR00092,Newsletter,7/08/2022,Engaged
DNR00092,Email,28/10/2022,Engaged
DNR00092,Email,13/12/2022,Engaged
DNR00092,Email,10/01/2023,Engaged
DNR00092,Newsletter,4/04/2023,Unsubscribed
DNR00092,Phone Call,16/08/2023,Engaged
DNR00092,Email,14/01/2025,Unsubscribed
DNR00092,Email,23/01/2025,Engaged
DNR00092,Phone Call,2/02/2025,Engaged
DNR00093,Email,19/10/2023,Not Reached
DNR00093,Email,15/12/2023,Not Reached
DNR00094,Social Media,12/12/2022,Not Reached
DNR00094,Email,26/02/2023,Unsubscribed
DNR00094,Email,31/03/2023,Engaged
DNR00094,Newsletter,17/04/2023,Engaged
DNR00094,Social Media,5/06/2023,Unsubscribed
DNR00094,Email,27/01/2024,Bounced
DNR00094,Email,24/02/2024,Engaged
DNR00094,Social Media,7/04/2024,Engaged
DNR00095,Phone Call,29/03/2023,Engaged
DNR00095,Email,11/05/2023,Unsubscribed
DNR00095,Social Media,11/07/2023,Engaged
DNR00095,Newsletter,1/08/2023,Engaged
DNR00095,Phone Call,5/11/2023,Engaged
DNR00095,Email,7/11/2023,Bounced
DNR00095,Email,7/04/2025,Engaged
DNR00095,Email,12/04/2025,Engaged
DNR00096,Email,18/11/2022,Bounced
DNR00096,Newsletter,31/03/2023,Not Reached
DNR00096,Email,10/02/2024,Bounced
DNR00096,Newsletter,10/06/2024,Engaged
DNR00096,Social Media,5/07/2024,Bounced
DNR00096,Newsletter,5/09/2024,Unsubscribed
DNR00096,Newsletter,6/01/2025,Engaged
DNR00096,Email,1/02/2025,Engaged
DNR00097,Email,1/12/2022,Bounced
DNR00097,Social Media,15/03/2023,Engaged
DNR00097,Newsletter,31/10/2023,Not Reached
DNR00097,Phone Call,12/03/2024,Engaged
DNR00097,Email,11/06/2024,Engaged
DNR00097,Email,12/11/2024,Engaged
DNR00097,Newsletter,6/12/2024,Bounced
DNR00097,Phone Call,27/02/2025,Engaged
DNR00097,Email,2/04/2025,Bounced
DNR00098,Social Media,27/02/2023,Unsubscribed
DNR00098,Email,7/04/2023,Not Reached
DNR00098,Newsletter,16/11/2023,Engaged
DNR00098,Email,23/06/2024,Bounced
DNR00098,Phone Call,18/11/2024,Engaged
DNR00098,Email,29/11/2024,Engaged
DNR00098,Social Media,11/04/2025,Engaged
DNR00099,Email,23/09/2022,Engaged
DNR00099,Phone Call,17/06/2023,Engaged
DNR00099,Newsletter,28/03/2024,Engaged
DNR00099,Newsletter,6/04/2024,Not Reached
DNR00100,Phone Call,27/10/2022,Not Reached
DNR00100,Email,18/04/2024,Engaged
DNR00100,Social Media,22/05/2024,Engaged
DNR00100,Social Media,11/07/2024,Unsubscribed
DNR00101,Social Media,6/03/2023,Not Reached
DNR00101,Email,9/05/2023,Engaged
DNR00101,Phone Call,10/05/2023,Not Reached
DNR00101,Social Media,31/12/2023,Engaged
DNR00101,Phone Call,7/01/2024,Engaged
DNR00101,Newsletter,18/01/2024,Engaged
DNR00102,Phone Call,5/08/2022,Engaged
DNR00102,Email,16/02/2023,Unsubscribed
DNR00102,Phone Call,1/03/2023,Engaged
DNR00102,Phone Call,12/05/2023,Engaged
DNR00102,Phone Call,3/11/2023,Not Reached
DNR00102,Newsletter,3/02/2024,Engaged
DNR00102,Newsletter,6/03/2024,Engaged
DNR00102,Email,17/03/2024,Engaged
DNR00102,Social Media,22/07/2024,Bounced
DNR00103,Email,28/03/2024,Engaged
DNR00104,Newsletter,29/09/2024,Unsubscribed
DNR00105,Newsletter,15/12/2022,Engaged
DNR00105,Newsletter,28/03/2023,Unsubscribed
DNR00105,Newsletter,8/07/2023,Engaged
DNR00105,Email,1/11/2023,Engaged
DNR00105,Phone Call,20/02/2024,Unsubscribed
DNR00106,Email,11/10/2022,Engaged
DNR00106,Email,4/06/2023,Not Reached
DNR00106,Email,27/12/2024,Engaged
DNR00107,Social Media,28/12/2022,Engaged
DNR00107,Newsletter,18/01/2024,Engaged
DNR00107,Email,26/02/2024,Engaged
DNR00107,Newsletter,18/02/2025,Engaged
DNR00107,Email,26/02/2025,Bounced
DNR00108,Phone Call,19/02/2023,Engaged
DNR00108,Email,13/04/2024,Not Reached
DNR00108,Social Media,10/11/2024,Not Reached
DNR00109,Email,18/05/2023,Engaged
DNR00109,Email,26/08/2023,Unsubscribed
DNR00109,Email,30/08/2023,Not Reached
DNR00109,Email,17/11/2023,Unsubscribed
DNR00109,Newsletter,18/05/2024,Engaged
DNR00109,Social Media,5/06/2024,Engaged
DNR00109,Email,7/06/2024,Engaged
DNR00109,Newsletter,15/10/2024,Engaged
DNR00110,Phone Call,28/11/2023,Engaged
DNR00110,Newsletter,25/10/2024,Engaged
DNR00110,Email,17/03/2025,Engaged
DNR00111,Phone Call,27/12/2022,Engaged
DNR00111,Social Media,18/08/2023,Engaged
DNR00111,Email,29/11/2023,Not Reached
DNR00111,Email,5/06/2024,Unsubscribed
DNR00112,Email,22/11/2022,Unsubscribed
DNR00112,Email,4/08/2024,Engaged
DNR00112,Email,10/11/2024,Engaged
DNR00113,Social Media,17/08/2022,Not Reached
DNR00113,Social Media,31/10/2022,Engaged
DNR00113,Email,6/04/2024,Engaged
DNR00113,Email,10/07/2024,Engaged
DNR00113,Social Media,22/03/2025,Engaged
DNR00114,Phone Call,9/10/2022,Unsubscribed
