DonationID,DonorID,DonationDate,Amount,CampaignID
DNT000203,DNR04882,2023-09-15,22.19,CAMP005
DNT000204,DNR03120,2020-01-29,38.06,CAMP003
DNT000205,DNR04350,2023-03-24,125.92,CAMP007
DNT000206,DNR03460,2021-03-19,45.1,CAMP010
DNT000207,DNR00440,2023-11-21,72.71,CAMP002
DNT000208,DNR03346,2015-02-04,146.02,CAMP005
DNT000209,DNR00519,2015-09-26,59.11,CAMP003
DNT000210,DNR04186,2017-12-01,131.87,CAMP002
DNT000211,DNR01390,2023-04-18,42.53,CAMP004
DNT000212,DNR00501,2019-07-20,268.51,CAMP009
DNT000213,DNR02747,2023-12-21,49.65,CAMP009
DNT000214,DNR03538,2018-08-20,24.11,CAMP006
DNT000215,DNR02563,2015-03-09,49.93,CAMP007
DNT000216,DNR00308,2018-10-07,54.65,CAMP001
DNT000217,DNR04005,2016-10-28,47.07,CAMP003
DNT000218,DNR02235,2021-02-17,167.54,CAMP002
DNT000219,DNR00177,2019-05-08,149.35,CAMP009
DNT000220,DNR00626,2024-08-22,216.55,CAMP010
DNT000221,DNR03716,2015-06-28,27.21,CAMP008
DNT000222,DNR00198,2017-08-26,258.92,CAMP003
DNT000223,DNR02505,2024-09-17,25.3,CAMP010
DNT000224,DNR04319,2021-05-12,95.06,CAMP008
DNT000225,DNR01365,2022-03-05,98.98,CAMP010
DNT000226,DNR03017,2020-08-16,11.93,CAMP008
DNT000227,DNR02955,2018-02-22,191.85,CAMP008
DNT000228,DNR00630,2024-01-25,13.16,CAMP004
DNT000229,DNR01344,2024-01-16,89.71,CAMP007
DNT000230,DNR03228,2025-02-18,232.88,CAMP010
DNT000231,DNR00377,2024-09-30,65.99,CAMP008
DNT000232,DNR02655,2017-10-07,22.25,CAMP010
DNT000233,DNR03478,2024-12-24,227.09,CAMP005
DNT000234,DNR02096,2019-07-31,40.58,CAMP009
DNT000235,DNR03840,2024-07-10,191.22,CAMP009
DNT000236,DNR02446,2015-10-21,61.12,CAMP003
DNT000237,DNR01040,2019-07-21,174.28,CAMP003
DNT000238,DNR04867,2024-11-06,148.28,CAMP008
DNT000239,DNR04722,2015-06-08,326.31,CAMP007
DNT000240,DNR01921,2017-07-28,88.5,CAMP009
DNT000241,DNR04528,2017-11-16,37.22,CAMP002
DNT000242,DNR02590,2020-11-13,33.43,CAMP002
DNT000243,DNR02087,2020-03-02,167.16,CAMP007
DNT000244,DNR04000,2016-07-08,60.42,CAMP008
DNT000245,DNR00249,2018-01-02,27.43,CAMP003
DNT000246,DNR03858,2017-04-14,115.09,CAMP001
DNT000247,DNR00942,2021-10-27,67.46,CAMP010
DNT000248,DNR00678,2019-12-19,314.29,CAMP007
DNT000249,DNR02467,2021-11-02,23.4,CAMP006
DNT000250,DNR04147,2018-10-24,65.92,CAMP001
DNT000251,DNR00210,2017-06-06,209.1,CAMP009
DNT000252,DNR03967,2020-02-21,26.15,CAMP006
DNT000253,DNR02825,2018-06-04,263.16,CAMP005
DNT000254,DNR01624,2020-01-28,89.38,CAMP003
DNT000255,DNR01869,2017-11-29,13.29,CAMP009
DNT000256,DNR00903,2024-02-27,15.31,CAMP007
DNT000257,DNR03608,2021-04-24,174.79,CAMP004
DNT000258,DNR04245,2020-12-04,104.71,CAMP001
DNT000259,DNR02022,2022-09-22,158.08,CAMP004
DNT000260,DNR01571,2020-02-17,208.27,CAMP003
DNT000261,DNR02443,2016-12-14,240.21,CAMP006
DNT000262,DNR00223,2017-05-13,62.23,CAMP001
DNT000263,DNR02305,2016-10-15,169.57,CAMP004
DNT000264,DNR00444,2021-10-01,152.27,CAMP001
DNT000265,DNR04437,2022-10-28,30.57,CAMP001
DNT000266,DNR03638,2025-04-16,279.42,CAMP006
DNT000267,DNR04246,2019-07-15,36.98,CAMP006
DNT000268,DNR01608,2021-03-16,65.26,CAMP009
DNT000269,DNR04683,2022-01-09,183.42,CAMP007
DNT000270,DNR02963,2022-04-16,49.68,CAMP006
DNT000271,DNR01387,2023-05-03,96.44,CAMP003
DNT000272,DNR04152,2019-09-22,105.03,CAMP003
DNT000273,DNR00185,2016-06-05,36.42,CAMP005
DNT000274,DNR01659,2017-11-27,52.72,CAMP006
DNT000275,DNR03139,2020-04-12,101.97,CAMP006
DNT000276,DNR01618,2024-12-20,29.26,CAMP008
DNT000277,DNR04165,2024-05-09,12.87,CAMP008
DNT000278,DNR00584,2024-11-09,143.45,CAMP001
DNT000279,DNR03697,2019-11-03,76.83,CAMP003
DNT000280,DNR04207,2017-09-25,172.59,CAMP005
DNT000281,DNR00131,2018-07-17,36.29,CAMP009
DNT000282,DNR01549,2015-09-29,207.22,CAMP004
DNT000283,DNR00038,2020-03-09,221.54,CAMP005
DNT000284,DNR03632,2022-04-18,119.18,CAMP001
DNT000285,DNR02615,2022-02-27,175.86,CAMP007
DNT000286,DNR00085,2019-03-14,83.1,CAMP002
DNT000287,DNR02874,2021-05-29,17.55,CAMP001
DNT000288,DNR04225,2020-09-07,111.93,CAMP002
DNT000289,DNR04788,2020-05-14,66.88,CAMP008
DNT000290,DNR01209,2024-10-17,39.64,CAMP001
DNT000291,DNR03788,2016-05-30,69.73,CAMP001
DNT000292,DNR02975,2017-07-21,44.65,CAMP001
DNT000293,DNR01672,2022-06-20,167.26,CAMP002
DNT000294,DNR01692,2017-01-26,17.08,CAMP001
DNT000295,DNR02903,2021-12-15,281.53,CAMP002
DNT000296,DNR04724,2022-04-26,105.94,CAMP007
DNT000297,DNR01843,2022-09-03,208.01,CAMP001
DNT000298,DNR02610,2015-05-02,124.72,CAMP010
DNT000299,DNR03038,2016-03-16,50.19,CAMP002
DNT000300,DNR01990,2018-09-23,20.57,CAMP003
DNT000301,DNR02065,2018-11-07,72.66,CAMP002
DNT000302,DNR02769,2024-05-09,41.65,CAMP003
DNT000303,DNR00115,2020-11-17,48.95,CAMP007
DNT000304,DNR00139,2017-04-07,102.92,CAMP002
DNT000305,DNR01316,2015-03-15,284.85,CAMP003
DNT000306,DNR01897,2022-01-07,221.95,CAMP006
DNT000307,DNR04225,2016-05-25,105.9,CAMP004
DNT000308,DNR04328,2017-08-16,120.22,CAMP001
DNT000309,DNR04711,2024-03-02,86.59,CAMP008
DNT000310,DNR00278,2020-07-06,94.77,CAMP007
DNT000311,DNR01239,2021-10-22,183.42,CAMP008
DNT000312,DNR01487,2016-08-08,67.41,CAMP009
DNT000313,DNR02996,2015-04-03,56.43,CAMP009
DNT000314,DNR01841,2024-08-28,94.36,CAMP003
DNT000315,DNR01417,2023-02-12,333.76,CAMP009
DNT000316,DNR03598,2025-04-02,179.04,CAMP006
DNT000317,DNR02635,2024-06-09,59.29,CAMP010
DNT000318,DNR03970,2018-03-12,140.43,CAMP010
DNT000319,DNR00988,2023-11-13,34.07,CAMP002
DNT000320,DNR03846,2018-04-23,51.4,CAMP001
DNT000321,DNR02289,2019-02-23,61.78,CAMP004
DNT000322,DNR04842,2016-05-04,39.63,CAMP009
DNT000323,DNR00273,2018-05-27,101.42,CAMP002
DNT000324,DNR03928,2016-03-28,298.64,CAMP001
DNT000325,DNR01947,2018-01-12,49.74,CAMP002
DNT000326,DNR01333,2024-06-11,105.32,CAMP007
DNT000327,DNR04615,2020-04-25,204.63,CAMP005
DNT000328,DNR00389,2024-12-29,60.98,CAMP005
DNT000329,DNR01029,2020-04-26,360.85,CAMP010
DNT000330,DNR00776,2023-04-27,226.37,CAMP004
DNT000331,DNR02888,2020-02-22,32.44,CAMP001
DNT000332,DNR00606,2020-08-28,21.95,CAMP008
DNT000333,DNR02145,2023-07-21,23.76,CAMP001
DNT000334,DNR01377,2024-06-24,126.63,CAMP010
DNT000335,DNR00063,2019-11-19,79.41,CAMP003
DNT000336,DNR01043,2020-09-09,372.23,CAMP002
DNT000337,DNR01235,2020-06-07,118.45,CAMP002
DNT000338,DNR02552,2020-05-06,26.95,CAMP009
DNT000339,DNR03596,2017-08-26,257.87,CAMP009
DNT000340,DNR00147,2023-11-28,89.2,CAMP005
DNT000341,DNR00543,2016-11-22,60.02,CAMP002
DNT000342,DNR03360,2018-03-07,25.7,CAMP010
DNT000343,DNR00730,2024-01-07,66.51,CAMP007
DNT000344,DNR02556,2020-04-23,15.15,CAMP008
DNT000345,DNR01039,2021-03-23,187.54,CAMP009
DNT000346,DNR04841,2021-12-15,154.82,CAMP004
DNT000347,DNR00773,2020-03-31,312.54,CAMP001
DNT000348,DNR03441,2017-08-01,252.76,CAMP007
DNT000349,DNR01214,2023-01-10,135.42,CAMP007
DNT000350,DNR00789,2020-02-15,11.48,CAMP001
DNT000351,DNR02026,2020-12-08,79.47,CAMP004
DNT000352,DNR04824,2016-07-14,11.59,CAMP004
DNT000353,DNR00540,2021-07-31,328.25,CAMP001
DNT000354,DNR03137,2024-01-03,333.75,CAMP007
DNT000355,DNR01945,2023-08-12,215.01,CAMP003
DNT000356,DNR03261,2015-01-12,101.66,CAMP001
DNT000357,DNR02501,2021-08-27,40.19,CAMP007
DNT000358,DNR04673,2021-06-20,41.31,CAMP003
DNT000359,DNR02803,2016-07-07,34.5,CAMP003
DNT000360,DNR02228,2020-08-21,93.31,CAMP003
DNT000361,DNR01150,2015-03-04,61.21,CAMP004
DNT000362,DNR02032,2018-08-15,201.84,CAMP005
DNT000363,DNR04145,2016-10-19,55.68,CAMP001
DNT000364,DNR02157,2019-03-21,26.3,CAMP003
DNT000365,DNR03082,2019-08-28,91.29,CAMP001
DNT000366,DNR04734,2021-05-03,115.5,CAMP003
DNT000367,DNR01650,2024-11-13,227.62,CAMP003
DNT000368,DNR03801,2021-10-14,48.32,CAMP004
DNT000369,DNR03816,2015-08-30,46.23,CAMP010
DNT000370,DNR04877,2021-03-06,105.79,CAMP001
DNT000371,DNR00367,2022-09-28,14.35,CAMP005
DNT000372,DNR04786,2024-11-12,219.44,CAMP004
DNT000373,DNR01644,2018-04-27,166.64,CAMP005
DNT000374,DNR00676,2016-01-17,18.98,CAMP006
DNT000375,DNR02286,2018-02-28,360.87,CAMP003
DNT000376,DNR01443,2019-07-12,66.58,CAMP003
DNT000377,DNR01025,2016-12-23,49.56,CAMP005
DNT000378,DNR04183,2016-10-26,33.85,CAMP005
DNT000379,DNR03318,2019-07-26,61.24,CAMP009
DNT000380,DNR03776,2024-08-28,19.25,CAMP007
DNT000381,DNR00534,2016-02-06,34.81,CAMP006
DNT000382,DNR04372,2023-02-07,12.57,CAMP002
DNT000383,DNR03650,2022-08-18,193.26,CAMP009
DNT000384,DNR00642,2024-01-28,82.61,CAMP010
DNT000385,DNR00738,2017-01-27,107.04,CAMP003
DNT000386,DNR03481,2015-12-06,108.52,CAMP007
DNT000387,DNR01136,2021-06-30,116.39,CAMP008
DNT000388,DNR01374,2020-07-23,73.15,CAMP009
DNT000389,DNR02942,2021-10-18,61.62,CAMP005
DNT000390,DNR02981,2021-04-15,45.24,CAMP006
DNT000391,DNR02126,2023-02-14,73.13,CAMP006
DNT000392,DNR02743,2020-08-13,231.27,CAMP005
DNT000393,DNR00763,2023-10-10,41.82,CAMP007
DNT000394,DNR03756,2022-10-17,404.03,CAMP001
DNT000395,DNR00687,2016-06-25,30.95,CAMP005
DNT000396,DNR03525,2024-12-03,50.51,CAMP010
DNT000397,DNR04181,2016-11-15,118.4,CAMP006
DNT000398,DNR04692,2022-06-25,18.2,CAMP003
DNT000399,DNR03062,2023-05-20,108.32,CAMP002
DNT000400,DNR04446,2021-05-18,20.63,CAMP004
DNT000401,DNR01561,2025-03-13,112.98,CAMP003
DNT000402,DNR01864,2020-06-02,24.44,CAMP006
DNT000403,DNR01919,2016-12-01,489.32,CAMP006
DNT000404,DNR04662,2025-04-11,124.87,CAMP004
DNT000405,DNR03453,2016-06-06,44.79,CAMP004
DNT000406,DNR02850,2016-07-03,38.6,CAMP010
DNT000407,DNR00833,2016-01-22,163.38,CAMP010
DNT000408,DNR00286,2022-07-08,43.57,CAMP010
DNT000409,DNR01446,2019-10-08,117.74,CAMP002
DNT000410,DNR03656,2017-07-03,80.06,CAMP007
DNT000411,DNR04427,2020-01-11,20.39,CAMP009
DNT000412,DNR04371,2025-03-26,20.66,CAMP009
DNT000413,DNR01776,2020-12-24,58.02,CAMP010
DNT000414,DNR03331,2021-04-09,40.59,CAMP002
DNT000415,DNR00526,2016-09-23,86.31,CAMP009
DNT000416,DNR04787,2021-01-26,59.57,CAMP005
DNT000417,DNR01018,2023-08-20,13.2,CAMP006
DNT000418,DNR00048,2025-01-11,90.34,CAMP001
DNT000419,DNR04723,2020-04-03,95.74,CAMP007
DNT000420,DNR02090,2020-08-18,70.0,CAMP008
DNT000421,DNR03985,2025-01-28,284.58,CAMP005
DNT000422,DNR03115,2018-02-28,13.56,CAMP006
DNT000423,DNR03580,2019-08-01,439.5,CAMP004
DNT000424,DNR03318,2024-08-21,24.55,CAMP003
DNT000425,DNR01432,2016-04-01,137.66,CAMP003
DNT000426,DNR00265,2025-03-20,138.36,CAMP002
DNT000427,DNR03318,2020-08-08,54.44,CAMP010
DNT000428,DNR03141,2017-08-26,18.21,CAMP006
DNT000429,DNR00084,2017-01-09,20.05,CAMP009
DNT000430,DNR01758,2020-06-16,137.98,CAMP003
DNT000431,DNR02453,2018-04-07,93.9,CAMP001
DNT000432,DNR00770,2018-05-04,154.39,CAMP010
DNT000433,DNR02125,2020-08-08,125.22,CAMP001
DNT000434,DNR00466,2020-05-18,128.22,CAMP004
DNT000435,DNR01946,2018-03-29,17.21,CAMP001
DNT000436,DNR02040,2018-03-30,294.52,CAMP010
DNT000437,DNR02783,2017-02-16,38.41,CAMP002
DNT000438,DNR02419,2021-11-03,102.46,CAMP004
DNT000439,DNR04832,2021-12-13,69.03,CAMP004
DNT000440,DNR01990,2017-12-02,152.07,CAMP008
DNT000441,DNR01698,2020-12-15,91.77,CAMP004
DNT000442,DNR01666,2016-06-07,137.73,CAMP003
DNT000443,DNR02158,2018-09-13,146.83,CAMP004
DNT000444,DNR03950,2020-01-27,23.7,CAMP005
DNT000445,DNR02447,2024-10-04,39.1,CAMP005
DNT000446,DNR03862,2023-07-01,106.19,CAMP004
DNT000447,DNR04054,2023-05-08,82.35,CAMP010
DNT000448,DNR02569,2015-02-03,22.6,CAMP002
DNT000449,DNR00570,2015-08-08,24.73,CAMP003
DNT000450,DNR02123,2019-06-30,150.46,CAMP010
DNT000451,DNR04350,2023-06-17,167.0,CAMP010
DNT000452,DNR00515,2022-08-23,15.13,CAMP003
DNT000453,DNR01166,2017-06-21,118.44,CAMP005
DNT000454,DNR01105,2017-02-01,17.51,CAMP002
DNT000455,DNR01935,2023-01-22,16.02,CAMP002
DNT000456,DNR00069,2016-05-30,12.1,CAMP010
DNT000457,DNR01465,2017-11-20,270.62,CAMP002
DNT000458,DNR01626,2022-06-30,35.01,CAMP006
DNT000459,DNR01346,2015-12-10,34.56,CAMP008
DNT000460,DNR03543,2017-07-16,125.5,CAMP010
DNT000461,DNR01346,2019-05-15,94.43,CAMP006
DNT000462,DNR00931,2022-07-19,147.87,CAMP004
DNT000463,DNR02542,2020-03-31,153.9,CAMP008
DNT000464,DNR02926,2024-12-04,82.64,CAMP004
DNT000465,DNR00966,2017-08-21,56.5,CAMP009
DNT000466,DNR00623,2015-12-19,29.02,CAMP008
DNT000467,DNR02373,2023-01-27,167.65,CAMP004
DNT000468,DNR04750,2025-02-22,120.07,CAMP007
DNT000469,DNR02408,2017-02-07,26.34,CAMP010
DNT000470,DNR04261,2017-01-02,88.29,CAMP009
DNT000471,DNR04440,2020-02-18,108.79,CAMP006
DNT000472,DNR03199,2022-08-17,183.15,CAMP001
DNT000473,DNR01211,2017-10-23,29.67,CAMP006
DNT000474,DNR00498,2016-03-09,29.63,CAMP008
DNT000475,DNR01694,2016-10-24,33.11,CAMP009
DNT000476,DNR04399,2021-09-18,24.64,CAMP001
DNT000477,DNR00257,2016-02-03,127.55,CAMP005
DNT000478,DNR04732,2024-02-16,386.93,CAMP005
DNT000479,DNR01477,2017-02-13,63.38,CAMP008
DNT000480,DNR01665,2016-02-01,75.59,CAMP007
